average(station_latitude),average(station_longitude)
46.5169675,-115.3511865542
67.4439389678,-150.9865628706
57.3267389678,-157.6538628706
55.5042389678,-162.4514628706
58.7422389678,-141.4120628706
45.0015367,-121.0275693792
37.612,-77.7388310723
37.61064838,-78.0494416551
21.05159711,-73.2342114423
52.2699389678,-178.0909628706
51.1113,-68.1698321714
41.4537,-104.1209442438
66.1656389678,-158.4739628706
10.923,-80.8779377238
21.19706522,-157.2550701282
65.4183389678,-133.1288628706
56.7231279,-158.8052459901
21.28414465,-72.2389941843
56.8861389678,-156.6410628706
41.45644681,-125.9247349989
51.6411389678,174.6257371294
64.7778389678,-139.4974628706
50.1265389678,-179.6362628706
66.2874389678,-145.2005628706
61.3608389678,-158.3075628706
56.2831389678,-156.2521628706
33.6487,-111.6578024882
33.7564,-113.4365584287
67.7461389678,-157.5196628706
56.1664389678,-158.1641942203
54.3737389678,-161.8099628706
21.35316366,-70.8443722624
34.2210389678,-97.6309054297
53.9802389678,-161.0007628706
21.51485764,-155.6513734978
43.9398,-111.0619839495
57.1723389678,-157.9601628706
51.0877389678,179.4681371294
10.0417,-81.1844672381
59.0937389678,-155.9366628706
36.7101,-95.199825065
50.3384389678,178.7203371294
65.6879389678,-165.0287628706
51.2276389678,-178.8376628706
35.3912,-113.4375096947
57.0113389678,-150.8961628706
46.6360389678,-81.3089628706
46.6275389678,-81.3007628706
67.2999389678,-146.2345628706
21.69503695,-73.0080763378
20.6467,-154.7184560986
52.1735389678,174.6389371294
52.0680389678,-171.3021628706
21.37115006,-70.1779800244
31.673,-114.4235673975
55.6394389678,-157.0174628706
65.1168389678,-134.1989628706
55.8099389678,-161.6551628706
57.7744389678,-151.3652628706
21.7314533,-155.0660678837
66.3490389678,-141.6468628706
58.8936389678,-155.3583628706
43.901,-110.6430414098
50.5725389678,176.9488371294
50.5725389678,176.9488371294
67.3938389678,-145.4366628706
67.4589389678,-146.3188628706
31.7342,-114.4218369145
18.89307858,-57.4041234043
29.596,-98.7381289183
66.7617389678,-160.6275628706
69.2970389678,-148.0731628706
69.1713389678,-148.0177628706
33.9429,-99.9856930937
56.4157389678,-157.3109628706
69.4238389678,-147.6189628706
69.5223389678,-148.3417628706
71.1068389678,-134.1399628706
21.16969098,-68.6845995876
21.66318051,-70.9425291505
58.9365389678,-137.3988628706
54.7680389678,-154.9420628706
19.76652599,-71.5735752241
38.4014,-94.8654221433
40.7585,-115.0356060324
32.0374,-94.0059174043
56.6012389678,-156.9888628706
41.6086,-108.1768582326
31.5593333,-116.0363049786
53.8210389678,173.4863371294
56.1227389678,-157.9341628706
56.8694389678,-153.5113628706
20.28031529,-73.8981209397
60.5240389678,-158.2656628706
56.1630389678,-158.6842628706
58.8391389678,-155.3261628706
20.04968869,-72.8507317486
50.8674389678,176.2676371294
51.2249389678,-179.3586628706
59.1271389678,-147.8918628706
54.8913389678,-160.7092628706
45.8416,-116.5449314501
56.2865389678,-154.1566628706
43.16435716,-118.002178869
56.6814389678,-156.4242628706
34.1969389678,-97.207637016
56.0107389678,-161.5472628706
66.6120389678,-142.7185628706
20.84228159,-72.9000068989
20.53344224,-72.6655270245
41.7279,-106.1658826962
20.21686667,-70.9564887592
56.1709389678,-161.6764628706
19.21827521,-74.0181855491
19.97706053,-71.7510460758
20.3160574,-94.5925324471
20.19239651,-74.5654939352
35.5338,-111.244404915
53.8455389678,-161.0903628706
33.0694,-96.836866029
34.3978325,-114.362180597
68.6761389678,-145.6253628706
52.2899389678,-171.9307628706
59.9506389678,-155.7880628706
19.5348,-100.9530756036
20.1635,-99.1763259484
12.8047,-88.4189199395
53.9572,185.0277160309
53.5892,-181.8801109444
54.3386,-166.7210881424
10.0792,-87.9764305584
13.8404,-86.5491652538
19.6513,-101.9089645778
12.9423,-147.1912801727
11.5986,-84.3656248938
53.5079,-174.4913354913
54.4755,175.9950427251
13.0052,-66.9083526232
15.2748,-81.9364422649
12.2472,-88.8164360887
13.0029,-88.380999283
12.1389,-78.9982851664
19.6342,-99.2544857943
29.2247,-108.0439480929
10.8943,-83.703318502
14.033,-91.8679878013
11.614,-91.4425644345
20.744,-80.2070067151
15.3044,-91.2605987662
10.4424,-74.2182921079
54.6836,20.2847058991
54.7552,176.0559585606
54.7378,178.2386869416
54.8113,338.6955327196
54.5891,175.7757908773
53.7177,175.6326308941
53.2709,173.558680244
54.5307,187.3443240796
54.6093,188.6866204829
54.3103,187.260759439
52.5605,-180.4491919907
54.2623,182.6889556724
54.6097,179.3214052086
54.4764,183.2210512265
54.4779,186.305734655
12.0539,-87.2958120133
12.4271,-88.705336513
19.93138388,-62.0094279277
19.6799,-63.5529365689
12.7126,-84.4941500607
53.3424,174.1292390315
13.2717,-129.177442259
12.3791,-100.5124322776
54.3589,182.264736639
54.7038,162.6408375687
12.4385,-87.8412503618
54.6578,175.8145859679
29.7387,-111.5356394113
67.9480389678,-157.5244628706
19.9262,-96.6093988165
67.9618389678,-157.5086628706
55.8225,-161.2020032057
55.2791389678,-155.6131628706
53.8649,-173.4458115874
20.5985,-100.7746249487
53.3346,-172.1881295494
54.638,162.9745431961
12.6961,-94.0031283852
14.2375,-88.0219660171
12.6987,-79.2780205964
55.3742,-164.7705369048
13.0329,-83.9091123754
32.6821,-108.1825126923
16.3163,-109.1329261005
16.3141,-94.6666005262
10.4981,-89.0964805556
15.3768,-61.5281533854
10.8494,-77.9189501013
16.6081,-93.5298702127
