"lat","long","mag","place","url"
37.368,22.228,4.5,"8km ESE of Megalopolis, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sins"
64.4677,-17.5366,4.6,"114km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sipc"
64.5281,-17.805,4.6,"128km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000siq7"
34.2313,25.09,4.3,"85km S of Pirgos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000siq6"
64.6265,-17.5998,4.9,"120km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sird"
35.0959,26.2361,4.9,"11km S of Palaikastron, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sirk"
64.6282,-17.6651,4.7,"119km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sit7"
64.6236,-17.5521,4.4,"120km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000siw5"
64.5407,-17.5775,4.5,"118km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000siy5"
49.8644,153.4888,4.3,"208km WSW of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sj06"
62.9476,172.1848,4.5,"Chukotskiy Avtonomnyy Okrug, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sj0p"
62.9806,172.3827,4.5,"Chukotskiy Avtonomnyy Okrug, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sj1b"
64.6583,-17.4518,4.6,"117km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sj57"
-21.4698,171.4525,4.8,"120km NNW of Ile Hunter, New Caledonia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sjpg"
64.6026,-17.5063,4.7,"117km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sjzr"
64.5762,-17.3815,4.8,"110km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sk73"
64.6009,-17.5025,4.8,"117km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000skft"
64.5625,-17.5355,4.4,"117km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000skis"
64.6592,-16.5447,4.8,"78km NW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000skmw"
64.7391,-17.6079,4.7,"107km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000skw0"
-22.8648,172.7812,4.6,"91km SE of Ile Hunter, New Caledonia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000skxg"
45.2843,150.2795,4.6,"188km E of Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000skxq"
64.6315,-17.6304,4.5,"119km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sky5"
64.664,-17.4318,4.7,"116km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sl1m"
-23.046,172.8707,4.7,"110km SE of Ile Hunter, New Caledonia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sl2w"
64.5914,-17.5475,4.6,"118km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sl4h"
-15.5808,-177.9567,4.2,"143km S of Sigave, Wallis and Futuna","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sl8k"
64.6266,-17.4001,4.6,"113km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sl9c"
64.6285,-17.9295,4.7,"117km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sldt"
55.5527,160.614,4.5,"127km ESE of Esso, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000slg7"
64.622,-17.4345,4.6,"114km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000slil"
64.5621,-17.8399,4.5,"125km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000slmi"
64.6384,-17.4962,4.6,"118km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sm1f"
64.6413,-17.4799,4.6,"117km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sm7i"
44.5399,148.9507,4.8,"114km SE of Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000smbh"
64.6265,-17.3141,4.8,"109km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000smpm"
35.4517,26.5239,4.6,"37km NE of Palaikastron, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000smqw"
64.6413,-17.4198,4.6,"114km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000smwn"
37.8798,21.44,4.6,"5km ENE of Sinoikismos Khavarion, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000smye"
49.3632,155.4758,4.6,"153km SSW of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000smzf"
64.5061,-17.9413,4.5,"131km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sn71"
64.566,-18.6945,4.4,"127km SSW of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sn9i"
64.6431,-17.5851,4.6,"118km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000snca"
64.5543,-17.7199,4.6,"125km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000snq5"
55.4129,160.5709,4.5,"131km ESE of Esso, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sntd"
44.564,149.1609,4.7,"125km SE of Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000snul"
64.5774,-17.7226,4.5,"124km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000snwq"
64.7647,-17.4461,4.8,"106km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000snye"
64.6433,-17.5098,4.5,"119km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sp06"
64.606,-17.5251,4.6,"118km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sp3a"
64.6103,-17.4394,4.3,"114km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sp3u"
64.6441,-17.4954,4.6,"118km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sp4p"
64.6226,-17.5229,4.6,"118km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sp5p"
64.5873,-17.2231,4.6,"103km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sp5z"
64.6582,-17.6716,4.5,"115km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000spbs"
64.5508,-17.9171,4.6,"126km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000spjr"
